prefix,bits,organization,registry
0000F7,24,YOUTH KEEP ENTERPRISE CO LTD,MA-L
0000F8,24,DIGITAL EQUIPMENT CORPORATION,MA-L
0000F9,24,QUOTRON SYSTEMS INC.,MA-L
0000FA,24,MICROSAGE COMPUTER SYSTEMS INC,MA-L
0000FB,24,RECHNER ZUR KOMMUNIKATION,MA-L
0000FC,24,MEIKO,MA-L
0000FD,24,HIGH LEVEL HARDWARE,MA-L
0000FE,24,"Annapolis Micro Systems, Inc.",MA-L
0000FF,24,CAMTEC ELECTRONICS LTD.,MA-L
000100,24,EQUIP'TRANS,MA-L
000101,24,Private,MA-L
000102,24,3COM,MA-L
000103,24,3COM,MA-L
000104,24,"DVICO Co., Ltd.",MA-L
000105,24,Beckhoff Automation GmbH,MA-L
000106,24,Tews Datentechnik GmbH,MA-L
000107,24,Leiser GmbH,MA-L
000108,24,"AVLAB Technology, Inc.",MA-L
000109,24,"Nagano Japan Radio Co., Ltd.",MA-L
00010A,24,CIS TECHNOLOGY INC.,MA-L
00010B,24,"Space CyberLink, Inc.",MA-L
00010C,24,System Talks Inc.,MA-L
00010D,24,Teledyne DALSA Inc.,MA-L
00010E,24,"Bri-Link Technologies Co., Ltd",MA-L
00010F,24,Brocade Communications Systems LLC,MA-L
000110,24,Gotham Networks,MA-L
000111,24,iDigm Inc.,MA-L
000112,24,Shark Multimedia Inc.,MA-L
000113,24,OLYMPUS CORPORATION,MA-L
000114,24,"KANDA TSUSHIN KOGYO CO., LTD.",MA-L
000115,24,EXTRATECH CORPORATION,MA-L
000116,24,"Netspect Technologies, Inc.",MA-L
000117,24,Canal +,MA-L
000118,24,"EZ Digital Co., Ltd.",MA-L
000119,24,RTUnet (Australia),MA-L
00011A,24,Hoffmann und Burmeister GbR,MA-L
00011B,24,"Unizone Technologies, Inc.",MA-L
00011C,24,Universal Talkware Corporation,MA-L
00011D,24,Centillium Communications,MA-L
00011E,24,"Precidia Technologies, Inc.",MA-L
00011F,24,"RC Networks, Inc.",MA-L
000120,24,OSCILLOQUARTZ S.A.,MA-L
000121,24,"WatchGuard Technologies, Inc.",MA-L
000122,24,"Trend Communications, Ltd.",MA-L
000123,24,Schneider Electric Japan Holdings Ltd.,MA-L
000124,24,Acer Incorporated,MA-L
000125,24,"YAESU MUSEN CO., LTD.",MA-L
000126,24,PAC Labs,MA-L
000127,24,OPEN Networks Pty Ltd,MA-L
000128,24,"EnjoyWeb, Inc.",MA-L
000129,24,DFI Inc.,MA-L
00012A,24,Telematica Sistems Inteligente,MA-L
00012B,24,"TELENET Co., Ltd.",MA-L
00012C,24,"Aravox Technologies, Inc.",MA-L
00012D,24,Komodo Technology,MA-L
00012E,24,PC Partner Ltd.,MA-L
00012F,24,Twinhead International Corp,MA-L
000130,24,"Extreme Networks, Inc.",MA-L
000131,24,"Bosch Security Systems, Inc.",MA-L
000132,24,Dranetz - BMI,MA-L
000133,24,KYOWA Electronic Instruments C,MA-L
000134,24,Selectron Systems AG,MA-L
000135,24,KDC Corp.,MA-L
000136,24,CyberTAN Technology Inc.,MA-L
000137,24,IT Farm Corporation,MA-L
000138,24,XAVi Technologies Corp.,MA-L
000139,24,Point Multimedia Systems,MA-L
00013A,24,"SHELCAD COMMUNICATIONS, LTD.",MA-L
